id,rt,mz,Ion_Adduct_Identity,IIN_Group_ID,Final_Annotations,smiles,inchi_key,Annotation_Preferred,Annotation_Spectral,number of aligned features,fragment_scans,spectral_similarity,F1_P1-B-2_1_4842,F2_P1-B-3_1_4843,F3_2_P1-B-4_1_4845,F3_3_P1-B-4_1_4846,F3_P1-B-4_1_4844,LL1_P1-C-2_1_4847,LL2_P1-C-3_1_4848,LL3_2_P1-C-4_1_4850,LL3_3_P1-C-4_1_4851,LL3_P1-C-4_1_4849
5,0.9138,423.24131,,,,,,,,4,0,,2450,1800,2320,2270,2150,1720,573,,,
6,0.9123,311.1158,,,,,,,,6,0,,3830,2470,4270,3640,4950,4450,1000,1080,760,819
7,0.9108,198.99065,,,,,,,,7,0,,3550,2980,6190,6090,5990,7200,1330,1570,1650,1250
1567,1.5781,181.07211,,,ALIGN_GNPS_THEOPHYLLINE,CN1C2=C(C(N(C)C1=O)=O)NC=N2,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,ALIGN_GNPS_THEOPHYLLINE,ALIGN_GNPS_THEOPHYLLINE,10,113,0.997,1330000,1440000,1540000,1410000,1560000,1170000,1280000,1090000,1170000,1240000
24,0.9475,276.28946,,,,,,,,4,0,,873,725,1040,896,716,1540,1640,1620,1790,1670
30,0.9522,614.94792,,,,,,,,1,0,,1660,848,1330,1560,1410,,,,,
45,0.9646,592.43358,,,,,,,,4,0,,3320,1480,2790,2910,2470,,,,,
50,0.9573,622.46023,[2M+H]+,3,,,,,,2,0,,2320,1100,1980,2060,2820,,,,,
54,0.956,548.40647,,,,,,,,5,0,,3940,1700,2940,2980,3000,,,,,
60,0.9644,621.45629,,,,,,,,3,0,,1810,688,1600,1630,1330,,,,,
64,0.9598,665.4984,,,,,,,,4,0,,3060,1180,3210,3660,2920,,,,,
65,0.9634,577.42774,,,,,,,,4,0,,2540,1260,2140,1870,2470,,,,,
66,0.9622,598.94348,,,,,,,,4,0,,3020,1810,3150,2930,3180,,,,,
67,0.9677,622.94873,,,,,,,,1,0,,1500,803,1430,1430,1910,,,,,
69,0.9594,607.45714,,,,,,,,4,0,,13600,5280,14900,13400,14100,,,,,
74,0.966,585.42847,,,,,,,,4,0,,3800,1940,3410,3830,3890,,,,,
75,0.9594,312.22014,[M+H]+,2,,,,,,10,0,,2400,1800,1690,1610,1980,2490,3110,2550,2940,2640
76,0.9597,531.425,[M+H]+,16,,,,,,2,0,,,,,,,2730,2030,,,
77,0.9673,563.41342,,,,,,,,5,0,,5120,2610,4500,4500,4510,,,,,
81,0.963,548.45148,[M+NH4]+,16,,,,,,1,0,,,,,,,2070,1520,,,
84,0.9637,547.89179,,,,,,,,4,0,,1720,1580,1510,1870,1690,,,,,
85,0.9597,636.47749,,,,,,,,5,0,,8010,2470,7380,7680,7150,,,,,
88,0.9624,569.92308,,,,,,,,6,0,,8440,3680,7950,8360,7330,,,,,
90,0.9631,629.97069,,,,,,,,3,0,,1710,686,2040,1380,1640,,,,,
93,0.9616,666.49222,,,,,,,,1,0,,1610,711,1570,1470,1850,,,,,
94,0.9636,578.43589,[2M+H]+,8,,,,,,6,2,,20500,9880,19800,18800,20100,,,,,
99,0.9662,525.87976,,,,,,,,5,0,,3020,2160,2830,2340,2300,,,,,
102,0.9713,556.90473,,,,,,,,1,0,,4080,2040,3260,3170,3750,,,,,
106,0.9637,571.91359,[M-H2O-e]+,5,,,,,,3,0,,2990,1710,2590,2540,2450,,,,,
107,0.9647,694.5176,,,,,,,,3,0,,1650,551,1800,1510,1610,,,,,
108,0.9661,549.41517,,,,,,,,6,14,,26400,13700,20900,22200,20200,,,,,
110,0.9662,564.4188,[2M+Na]+,11,,,,,,5,0,,5240,3290,4700,5330,5230,,,,,
112,0.9716,270.24261,,,,,,,,4,0,,,,,,,1080,1100,10100,10300,10200
114,1.024,257.21093,[M+H]+,80,,,,,,2,0,,,676,,,574,5060,3500,698,718,864
119,0.9674,540.90214,,,,,,,,6,0,,17300,9570,17800,17800,18100,,,,,
